,09/17/1908,17:18,"Fort Myer, Virginia",Military - U.S. Army,,Demonstration,Wright Flyer III,2,1
,09/07/1909,,"Juvisy-sur-Orge, France",,,Air show,Wright Byplane,1,1
,07/12/1912,06:30,"Atlantic City, New Jersey",Military - U.S. Navy,,Test flight,Dirigible,5,5
,08/06/1913,,"Victoria, British Columbia, Canada",Private,,,Curtiss seaplane,1,1
,09/09/1913,18:30,Over the North Sea,Military - German Navy,,,Zeppelin L-1 (airship),20,14
,10/17/1913,10:30,"Near Johannisthal, Germany",Military - German Navy,,,Zeppelin L-2 (airship),30,30
,03/05/1915,01:00,"Tienen, Belgium",Military - German Navy,,,Zeppelin L-8 (airship),41,21
,09/03/1915,15:20,"Off Cuxhaven, Germany",Military - German Navy,,,Zeppelin L-10 (airship),19,19
,07/28/1916,,"Near Jambol, Bulgeria",Military - German Army,,,Schutte-Lanz S-L-10 (airship),20,20
,09/24/1916,01:00,"Billericay, England",Military - German Navy,,,Zeppelin L-32 (airship),22,22
,10/01/1916,23:45,"Potters Bar, England",Military - German Navy,,,Zeppelin L-31 (airship),19,19
,11/21/1916,,"Mainz, Germany",Military - German Army,,,Super Zeppelin (airship),28,27
,11/28/1916,23:45,"Off West Hartlepool, England",Military - German Navy,,,Zeppelin L-34 (airship),20,20
,03/04/1917,,"Near Gent, Belgium",Military - German Army,,,Airship,20,20
,03/30/1917,,Off Northern Germany,Military - German Navy,,,Schutte-Lanz S-L-9 (airship),23,23
,05/14/1917,05:15,"Near Texel Island, North Sea",Military - German Navy,,,Zeppelin L-22 (airship),21,21
,06/14/1917,08:45,"Off Vlieland Island, North Sea",Military - German Navy,,,Zeppelin L-43 (airship),24,24
,06/17/1917,,"Near Yarmouth, England",,,,Zepplin LZ-95 (air ship),16,14
,08/21/1917,07:00,Off western Denmark,Military - German Navy,,,Zeppelin L-23 (airship),18,18
,10/20/1917,07:45,"Near Luneville, France",Military - German Navy,,,Zeppelin L-44 (airship),18,18
,04/07/1918,21:30,Over the Mediterranean,Military - German Navy,,,Zeppelin L-59 (airship),23,23
,05/10/1918,,"Off Helgoland Island, Germany",Military - German Navy,,,Zeppelin L-70 (airship),22,22
,08/11/1918,10:00,"Ameland Island, North Sea",Military - German Navy,,,Zeppelin L-53 (airship),19,19
,12/16/1918,,"Elizabeth, New Jersey",US Aerial Mail Service,,,De Havilland DH-4,1,1
,05/25/1919,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,1,1
,07/19/1919,,"Dix Run, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,1,1
,07/21/1919,16:55,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,,Shuttle,FD Type Dirigible,NULL,3
,08/02/1919,,"Verona, Italy",Caproni Company,,Venice  Taliedo,Caproni Ca.48,14,14
,10/02/1919,,"Newcastle, England",Aircraft Transport and Travel,,,De Havilland DH-4,1,1
,10/14/1919,,"Cantonsville, Maryland",US Aerial Mail Service,,,Curtiss R-4LM,1,1
,10/20/1919,,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,,,De Havilland DH-4,0,0
,10/30/1919,,"Long Valley, New Jersey",US Aerial Mail Service,,,De Havilland DH.4,1,1
,12/11/1919,,"Catherham, Surrey, UK",Aircraft Travel Transport,,Paris - Hounslow,de Havilland DH-4,1,1
,03/10/1920,,"New Paris, Indiana",US Aerial Mail Service,,,De Havilland DH-4,1,1
,03/30/1920,,"Newark, New Jersey",US Aerial Mail Service,,Washington - Newark,De Havilland DH-4,1,1
,04/10/1920,,"Newark, New Jersey",US Aerial Mail Service,,,Curtiss R-4LM,2,1
,04/11/1920,,"Heller Field, New Jersey",US Aerial Mail Service,,,Curtiss JN-4H,2,1
,05/12/1920,,"Oskaloosa, Iowa",US Aerial Mail Service,,,De Havilland DH-4,2,1
,06/06/1920,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,1,1
,07/20/1920,,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,,,Farman F-40,1,1
,08/16/1920,,"Bedford, England",By Air,,,Armstrong-Whitworth F-K-8,1,1
,08/16/1920,,"College Park, Maryland",US Aerial Mail Service,,,De Havilland DH-4,1,1
,09/01/1920,,"Morristown, New Jersey",US Aerial Mail Service,,,Junkers JL-6,2,2
,09/15/1920,,"Pemberville, Ohio",US Aerial Mail Service,,,Junkers F-13,2,2
,09/27/1920,,"Hillersburg, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,1,1
,10/02/1920,,"Off Port Vendres, France",Latecoere Airlines,,,Salmson 2-A-2,2,2
,10/05/1920,,"Valencia, Spain",Latecoere Airlines,,,Breguet 14,2,2
,10/15/1920,,"Batavia, Illinois",US Aerial Mail Service,,,De Havilland DH-4,1,1
,11/07/1920,,"Tie Siding, Wyoming",US Aerial Mail Service,,,De Havilland DH-4,1,1
,12/14/1920,12:15,"London, England",Handley Page Transport,,London - Paris,Handley Page HP-16,8,4
,12/24/1920,,"Barcelona, Spain",Aeropostale,,,Breguet 14,1,1
,02/03/1921,,"Mendotta, Minnisota",US Aerial Mail Service,,,De Havilland DH-4,1,1
,02/09/1921,,"La Crosse, Wisconsin",US Aerial Mail Service,,,Junkers F-13,3,3
,02/15/1921,,Off Gibraltar,Aeropostale,,,Breguet 14,2,2
,02/22/1921,,"Elko, Nevada",US Aerial Mail Service,,,De Havilland DH-4,1,1
,04/06/1921,,"Point Cook, Australia",Military - Royal Australian Air Force,,,Avro 504,2,2
,04/21/1921,,"Mitchel Field, NY",US Aerial Mail Service,,,De Havilland DH-4,1,1
,04/29/1921,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,1,1
,05/17/1921,,"Rock Springs, Wyoming",US Aerial Mail Service,,,De Havilland DH-4 De Havilland DH-4,1,1
,08/14/1921,,"Toulouse, France",Aeropostale,,,Breguet 14,2,2
,08/24/1921,17:40,"River Humber, England",Military - Royal Airship Works,,,Royal Airship Works ZR-2 (airship),46,46
,09/06/1921,,"Paris, France",Franco-Roumaine,,Warsaw - Prague - Strasbourg - Paris,Potez IX,5,5
,12/05/1921,,"Near Murchinson River, Australia",West Australian Airways,,Geraldton - Derby,Bristol 28 Tourer,2,2
,01/14/1922,,"Paris, France",Handley Page Transport,,,Handley Page O/10,5,5
,02/21/1922,,"Near Norfolk, Virginia",Military - U.S. Army Air Service,,,Dirigible Roma (airship),45,34
,03/22/1922,11:40,North Atlantic Ocean,Aero Limited,,Miami - Bimini,Aeromarine Model 85 (flying boat),6,5
,04/07/1922,13:15,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,7,7
,04/08/1922,,"Pao Ting Fou, China",,,Test,NULL,17,17
,06/03/1922,,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,,Croydon - Paris,Bleriot Spad 27,3,3
,07/04/1922,,"Fuhlsbuttel, Germany",,,Hamburg - Berlin,LVG C VI,3,2
,07/16/1922,16:45,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,,Strasbourg - Paris,Potez 29,5,5
,07/26/1922,,"Cadix, Spain",Grands Express Aeriens,,,Breguet 14,3,3
,09/07/1922,,"Indianapolis, Indiana",US Aerial Mail Service,,,De Havilland DH-4,1,1
,10/02/1922,,"Venice, Italy",de Havilland Air Service,,Venice - London,de Havilland DH-9,4,4
,10/25/1922,,"Larache, Morocco",Grands Express Aeriens,,,Breguet 14,2,2
,12/03/1922,,"Fez, Morocco",Grands Express Aeriens,,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,1,1
,01/10/1923,,"Ajaccio, France",Amee de l'Air,,,Lioré-et-Olivier H-13,4,3
,01/17/1923,,"Barcelona, Spain",Grands Express Aeriens,,,Breguet 14,1,1
,01/18/1923,,"Cheyenne, Wyoming",US Aerial Mail Service,,,De Havilland DH-4,1,1
,02/26/1923,,"Meadville, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,1,1
,05/14/1923,13:42,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),,Paris - London,Farman F-60 Goliath,6,6
,08/27/1923,17:30,"East Mallling, United Kingdom",Air Union,,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,11,1
,08/27/1923,,"Bucharest, Romania",Campagnie France Roumaine,,,Blériot Spad 46,2,2
,09/07/1923,,"Colton, Ohio",US Aerial Mail Service,,,De Havilland DH-4,1,1
,09/14/1923,18:00,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,,Croydon - Manchester,de Havilland DH-34,5,5
,11/18/1923,,Russia,CCCP,,,Junkers F-13,5,3
,12/06/1923,,"Castalia, Ohio",US Aerial Mail Service,,,De Havilland DH-4,1,1
,12/23/1923,02:30,Over the Mediterranean Sea,Military - French Navy,,Toulon - Algiers,Zeppelin Dixmunde (airship),52,52
,12/24/1923,,"Egbert, WY",US Aerial Mail Service,,,De Havilland DH-4,1,1
,03/07/1924,,"Grampian, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,1,1
,04/24/1924,,Over the English Channel,KLM Royal Dutch Airlines,,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,3,3
,06/08/1924,,"Barranquilla, Colombia",SCADTA,,Barranquilla - Bogota,Junkers F-13,5,5
,08/01/1924,,United States,US Aerial Mail Service,,,De Havilland DH-4,1,1
,11/06/1924,,"Cabrerolles, France",Grands Express Aeriens,,,Breguet 14,1,1
,12/21/1924,,"Goshen, Indiana",US Aerial Mail Service,,,De Havilland DH-4,1,1
,12/24/1924,12:00,"Purley, England",Imperial Airways,,London - Paris,de Havilland DH-34B,8,8
